criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
poisson,random,5,1,0.2,1000,0.7,0.2253372680992838
friedman_mse,random,10,10,0.0,1,0.1,0.2200341915131463
absolute_error,best,100,100,0.3,100,0.7999999999999999,0.2243166022825047
poisson,best,10,1,0.0,100,0.8999999999999999,0.1873721993364389
squared_error,random,10,10,0.0,1,0.7999999999999999,0.2090137197829511
squared_error,best,37,10,0.8999999999999999,100,0.2,0.2253372680992838
squared_error,random,37,10,0.2,100,0.8999999999999999,0.2253372680992838
friedman_mse,random,10,1,0.7,1,0.6,0.2253372680992838
poisson,best,100,37,0.7,100,0.7999999999999999,0.2253372680992838
poisson,best,100,5,0.8999999999999999,1,0.0,0.2253372680992838
poisson,best,5,5,0.4,1,0.7999999999999999,0.2253372680992838
absolute_error,best,37,5,0.2,1000,0.8999999999999999,0.2243166022825047
friedman_mse,best,5,10,1.0,100,0.3,0.2253372680992838
absolute_error,random,10,5,0.4,10000,0.8999999999999999,0.2243166022825047
absolute_error,best,10,5,0.1,100,0.5,0.2243166022825047
poisson,random,5,1,0.6,100,0.1,0.2253372680992838
absolute_error,best,73,5,1.0,1000,0.5,0.2243166022825047
squared_error,random,10,100,0.6,1,0.1,0.2253372680992838
absolute_error,best,100,73,0.3,10,0.3,0.2243166022825047
poisson,random,37,100,0.0,10,0.8999999999999999,0.2090137197829511
poisson,best,37,10,0.0,10,0.6,0.1726746025372446
absolute_error,best,2,10,0.7999999999999999,100,0.8999999999999999,0.2243166022825047
absolute_error,best,73,10,1.0,10000,0.7,0.2243166022825047
poisson,best,37,100,0.6,1,0.2,0.2253372680992838
friedman_mse,random,37,1,0.4,100,0.4,0.2253372680992838
squared_error,best,37,1,1.0,100,0.3,0.2253372680992838
absolute_error,random,73,37,0.1,1,0.5,0.2243166022825047
absolute_error,random,73,73,0.2,10000,0.6,0.2243166022825047
squared_error,best,73,37,0.6,1,0.2,0.2253372680992838
squared_error,random,5,100,0.5,1,0.0,0.2253372680992838
friedman_mse,random,5,2,0.0,10,1.0,0.205241559148178
absolute_error,random,37,1,0.7999999999999999,100,0.7,0.2243166022825047
absolute_error,best,10,73,0.4,100,0.1,0.2243166022825047
squared_error,random,5,5,0.7999999999999999,1000,0.6,0.2253372680992838
friedman_mse,random,100,100,0.1,100,0.2,0.2253372680992838
squared_error,best,73,5,0.0,10000,0.3,0.1797463418866248
squared_error,best,73,1,0.0,1000,0.6,0.1797463418866248
absolute_error,random,2,5,0.0,10,0.3,0.1899878347982172
poisson,random,10,2,0.3,100,0.2,0.2253372680992838
squared_error,random,10,2,0.0,10000,0.2,0.1839325213003052
squared_error,best,37,1,0.0,10,0.5,0.178699271818491
friedman_mse,best,5,1,0.5,1,0.0,0.2253372680992838
squared_error,random,10,37,0.7,1000,0.5,0.2253372680992838
squared_error,random,37,10,0.0,100,0.1,0.178896609396601
poisson,random,37,10,0.4,1000,0.7999999999999999,0.2253372680992838
absolute_error,best,2,5,0.5,10000,0.5,0.2243166022825047
absolute_error,random,73,100,0.6,1000,1.0,0.2243166022825047
absolute_error,best,100,73,0.4,10000,0.0,0.2243166022825047
absolute_error,random,5,10,0.4,10,0.4,0.2243166022825047
squared_error,random,2,2,0.7999999999999999,100,0.2,0.2253372680992838
friedman_mse,best,2,5,0.2,1,0.6,0.2253372680992838
absolute_error,best,5,100,0.5,10,0.5,0.2243166022825047
squared_error,random,2,2,0.6,10000,0.4,0.2253372680992838
absolute_error,best,73,73,1.0,100,0.0,0.2243166022825047
squared_error,best,37,10,0.0,1000,0.7999999999999999,0.1782953769259466
squared_error,random,73,100,0.7999999999999999,1000,0.7999999999999999,0.2253372680992838
absolute_error,random,5,2,0.8999999999999999,10,0.7999999999999999,0.2243166022825047
friedman_mse,random,5,10,0.2,100,0.5,0.2253372680992838
squared_error,random,2,10,0.0,100,0.4,0.1754394847530287
squared_error,best,73,73,0.3,1,0.8999999999999999,0.2253372680992838
squared_error,best,100,73,0.5,1,0.1,0.2253372680992838
friedman_mse,random,100,5,0.2,100,0.7999999999999999,0.2253372680992838
poisson,best,73,2,0.6,10,0.6,0.2253372680992838
friedman_mse,best,73,1,0.8999999999999999,10,0.7,0.2253372680992838
absolute_error,random,73,2,0.5,10,0.7999999999999999,0.2243166022825047
absolute_error,random,73,100,0.3,1000,0.5,0.2243166022825047
friedman_mse,best,73,73,1.0,10000,0.2,0.2253372680992838
poisson,best,100,1,0.2,1000,0.8999999999999999,0.2253372680992838
friedman_mse,best,37,100,1.0,1,0.6,0.2253372680992838
squared_error,best,100,1,0.2,100,0.0,0.2253372680992838
absolute_error,best,73,1,0.7,10,0.8999999999999999,0.2243166022825047
squared_error,best,2,37,0.6,1000,1.0,0.2253372680992838
friedman_mse,random,5,73,0.6,100,0.0,0.2253372680992838
poisson,random,5,1,0.2,1,0.4,0.2253372680992838
squared_error,random,37,100,0.3,10000,0.8999999999999999,0.2253372680992838
friedman_mse,best,10,5,0.7999999999999999,1,0.6,0.2253372680992838
squared_error,best,73,73,0.8999999999999999,100,0.4,0.2253372680992838
squared_error,random,73,1,0.0,10000,0.6,0.1852675377145117
friedman_mse,random,5,10,0.6,1,0.7,0.2253372680992838
absolute_error,best,2,1,0.0,1,0.1,0.207774735429801
friedman_mse,random,73,10,0.1,100,0.4,0.2253372680992838
friedman_mse,random,73,10,1.0,1000,0.6,0.2253372680992838
squared_error,random,100,5,1.0,100,0.4,0.2253372680992838
friedman_mse,best,73,2,0.8999999999999999,100,0.1,0.2253372680992838
friedman_mse,best,2,37,0.3,10000,1.0,0.2253372680992838
poisson,best,100,1,1.0,1,0.6,0.2253372680992838
friedman_mse,best,37,1,0.1,1000,0.7999999999999999,0.2253372680992838
poisson,random,5,73,0.6,1,0.6,0.2253372680992838
absolute_error,random,10,73,0.1,10,1.0,0.2243166022825047
friedman_mse,best,5,1,0.0,10000,0.0,0.2212737754947278
friedman_mse,best,100,5,0.3,1000,0.3,0.2253372680992838
friedman_mse,random,100,2,0.3,100,0.2,0.2253372680992838
absolute_error,random,10,2,0.3,1,1.0,0.2243166022825047
poisson,random,2,2,0.8999999999999999,1,0.8999999999999999,0.2253372680992838
squared_error,best,10,73,0.8999999999999999,1,0.6,0.2253372680992838
squared_error,random,73,2,0.5,1,0.5,0.2253372680992838
absolute_error,best,100,37,0.6,100,0.7999999999999999,0.2243166022825047
friedman_mse,best,100,5,0.0,1000,0.0,0.1963207448036999
friedman_mse,random,5,100,0.6,1,0.7,0.2253372680992838
poisson,best,37,100,0.7999999999999999,100,0.0,0.2253372680992838
friedman_mse,best,2,73,0.7999999999999999,10000,0.5,0.2253372680992838
absolute_error,best,37,2,0.7999999999999999,10000,0.4,0.2243166022825047
friedman_mse,best,73,100,0.8999999999999999,10,0.8999999999999999,0.2253372680992838
squared_error,random,100,73,0.7,1,0.3,0.2253372680992838
poisson,best,100,10,0.8999999999999999,1000,0.1,0.2253372680992838
poisson,best,73,5,0.2,1,0.4,0.2253372680992838
squared_error,best,73,2,0.6,1,0.7999999999999999,0.2253372680992838
friedman_mse,random,2,37,1.0,10,0.7999999999999999,0.2253372680992838
squared_error,best,100,100,0.0,1000,0.6,0.1978717733341638
absolute_error,best,73,37,0.1,10,0.7999999999999999,0.2243166022825047
friedman_mse,random,10,1,0.2,10,0.7,0.2253372680992838
friedman_mse,best,5,2,0.4,10000,0.6,0.2253372680992838
poisson,random,2,5,0.7,1,0.4,0.2253372680992838
squared_error,best,73,37,0.8999999999999999,10000,0.1,0.2253372680992838
squared_error,random,5,2,0.6,10,0.1,0.2253372680992838
friedman_mse,random,2,100,0.1,100,0.6,0.2253372680992838
absolute_error,random,100,100,0.2,1000,1.0,0.2243166022825047
friedman_mse,random,100,1,0.7999999999999999,1,0.2,0.2253372680992838
poisson,best,37,1,0.1,100,0.0,0.2253372680992838
poisson,best,2,2,0.7,10,0.6,0.2253372680992838
friedman_mse,random,73,5,1.0,100,1.0,0.2253372680992838
squared_error,random,10,37,0.4,10,0.2,0.2253372680992838
absolute_error,best,10,1,0.6,1,0.2,0.2243166022825047
friedman_mse,random,10,100,1.0,10,1.0,0.2253372680992838
friedman_mse,random,73,2,0.4,1000,0.0,0.2253372680992838
squared_error,random,73,73,0.7999999999999999,10,0.3,0.2253372680992838
absolute_error,best,73,5,0.7,1,0.0,0.2243166022825047
squared_error,random,73,73,0.0,100,0.7999999999999999,0.2039562663021096
absolute_error,random,2,37,0.2,10000,0.7999999999999999,0.2243166022825047
absolute_error,random,2,37,1.0,1000,0.7999999999999999,0.2243166022825047
poisson,best,37,1,1.0,1,0.7999999999999999,0.2253372680992838
friedman_mse,best,2,100,0.3,1,0.5,0.2253372680992838
absolute_error,random,5,10,0.5,100,0.5,0.2243166022825047
absolute_error,best,2,5,0.1,100,0.2,0.2243166022825047
squared_error,random,37,100,0.6,1,0.8999999999999999,0.2253372680992838
absolute_error,random,5,5,0.3,1,0.1,0.2243166022825047
friedman_mse,random,73,2,0.0,100,0.8999999999999999,0.1924302455921504
absolute_error,best,37,100,0.0,1,0.3,0.207774735429801
friedman_mse,random,37,37,0.6,1,0.3,0.2253372680992838
poisson,best,100,2,0.4,1,0.2,0.2253372680992838
friedman_mse,best,5,73,0.4,1000,0.8999999999999999,0.2253372680992838
friedman_mse,random,73,73,0.7,10,0.0,0.2253372680992838
poisson,random,10,1,0.2,1000,0.2,0.2253372680992838
absolute_error,random,73,37,0.6,1000,1.0,0.2243166022825047
friedman_mse,random,2,2,0.4,10000,0.4,0.2253372680992838
poisson,best,73,73,0.7,1000,0.5,0.2253372680992838
friedman_mse,best,2,5,0.3,10,0.7,0.2253372680992838
friedman_mse,random,100,73,0.3,1000,0.2,0.2253372680992838
squared_error,best,37,5,0.1,1,0.6,0.2253372680992838
squared_error,random,73,1,0.3,1,0.8999999999999999,0.2253372680992838
squared_error,best,10,10,0.4,10000,0.7,0.2253372680992838
poisson,best,37,2,0.8999999999999999,10000,0.8999999999999999,0.2253372680992838
absolute_error,random,5,100,0.2,10,0.2,0.2243166022825047
squared_error,random,73,73,0.8999999999999999,10,0.0,0.2253372680992838
poisson,best,100,10,0.1,1000,0.0,0.2253372680992838
absolute_error,best,5,2,0.6,1000,0.1,0.2243166022825047
poisson,best,73,100,0.5,1,0.4,0.2253372680992838
absolute_error,best,100,2,0.8999999999999999,10000,0.8999999999999999,0.2243166022825047
friedman_mse,random,73,100,0.3,1,1.0,0.2253372680992838
poisson,random,2,37,0.5,1000,0.5,0.2253372680992838
friedman_mse,random,2,100,0.8999999999999999,1,0.7999999999999999,0.2253372680992838
friedman_mse,random,73,100,0.5,10000,0.8999999999999999,0.2253372680992838
absolute_error,random,37,10,0.6,10000,0.7999999999999999,0.2243166022825047
poisson,best,100,5,1.0,10000,0.2,0.2253372680992838
friedman_mse,random,10,37,1.0,1,0.1,0.2253372680992838
squared_error,random,10,5,0.4,10,0.2,0.2253372680992838
squared_error,best,2,37,0.0,1,0.0,0.2065444195227183
friedman_mse,random,73,100,0.0,10,0.5,0.2200341915131463
absolute_error,best,100,100,0.1,10000,0.7999999999999999,0.2243166022825047
absolute_error,random,10,2,1.0,1000,0.0,0.2243166022825047
friedman_mse,random,100,5,1.0,1,0.0,0.2253372680992838
squared_error,best,2,5,0.2,10000,0.3,0.2253372680992838
friedman_mse,best,100,37,1.0,1,0.5,0.2253372680992838
friedman_mse,random,73,37,0.5,1000,0.5,0.2253372680992838
squared_error,best,37,2,0.4,1,0.5,0.2253372680992838
absolute_error,random,5,37,0.7999999999999999,10,0.7,0.2243166022825047
poisson,random,5,37,0.0,1000,0.3,0.1928870190011532
poisson,best,2,10,0.5,10,0.7,0.2253372680992838
friedman_mse,best,10,100,1.0,100,1.0,0.2253372680992838
poisson,random,37,73,0.7,1,1.0,0.2253372680992838
friedman_mse,best,100,100,0.0,100,0.6,0.2000778396636677
friedman_mse,best,5,5,0.7999999999999999,10000,1.0,0.2253372680992838
absolute_error,random,37,37,0.7,10,0.2,0.2243166022825047
squared_error,best,37,100,0.7999999999999999,10000,0.6,0.2253372680992838
poisson,random,5,10,0.7,1000,0.2,0.2253372680992838
squared_error,best,10,2,0.7999999999999999,1,0.0,0.2253372680992838
poisson,random,10,10,0.4,1000,0.7,0.2253372680992838
poisson,best,100,10,0.7999999999999999,1,0.8999999999999999,0.2253372680992838
absolute_error,best,10,1,0.4,1,0.4,0.2243166022825047
friedman_mse,best,73,2,0.0,1,0.4,0.2073485035469244
poisson,best,10,10,0.1,1,0.7,0.2253372680992838
friedman_mse,random,73,100,0.7,1000,0.6,0.2253372680992838
poisson,random,5,5,0.4,10,0.7999999999999999,0.2253372680992838
poisson,random,10,5,0.4,10000,0.8999999999999999,0.2253372680992838
poisson,best,100,2,0.6,1000,0.7,0.2253372680992838
friedman_mse,random,100,73,0.3,1,0.7999999999999999,0.2253372680992838
poisson,random,73,37,0.3,10,0.0,0.2253372680992838
squared_error,random,2,10,0.4,1000,0.5,0.2253372680992838
absolute_error,random,2,100,0.4,1,0.1,0.2243166022825047
poisson,best,100,73,0.0,10,0.7999999999999999,0.1892667913431992
friedman_mse,random,100,2,0.6,1,0.4,0.2253372680992838
squared_error,best,37,100,1.0,10000,0.8999999999999999,0.2253372680992838
poisson,best,100,37,0.7,10000,0.3,0.2253372680992838
squared_error,best,73,2,0.1,1,0.4,0.2253372680992838
friedman_mse,random,73,73,0.7999999999999999,10,0.1,0.2253372680992838
squared_error,random,37,10,0.1,10000,0.7999999999999999,0.2253372680992838
absolute_error,random,5,37,0.3,100,0.7999999999999999,0.2243166022825047
friedman_mse,random,100,37,0.4,100,0.1,0.2253372680992838
friedman_mse,best,73,10,0.1,10,0.0,0.2253372680992838
friedman_mse,best,2,100,0.8999999999999999,100,0.2,0.2253372680992838
poisson,random,73,100,0.8999999999999999,10,0.2,0.2253372680992838
squared_error,random,100,5,0.2,1,1.0,0.2253372680992838
poisson,best,10,2,1.0,1,0.7,0.2253372680992838
absolute_error,best,5,37,0.3,1,0.8999999999999999,0.2243166022825047
poisson,best,100,5,0.2,10000,0.2,0.2253372680992838
poisson,random,100,100,0.7,10000,0.2,0.2253372680992838
squared_error,random,5,2,0.4,10,0.2,0.2253372680992838
squared_error,best,100,10,0.7999999999999999,10000,0.7999999999999999,0.2253372680992838
poisson,best,2,10,0.3,1,0.8999999999999999,0.2253372680992838
poisson,best,2,10,0.0,1,0.0,0.2072883723476958
friedman_mse,best,2,73,0.0,10,0.0,0.1948071717201478
squared_error,best,2,73,0.7,10,0.7999999999999999,0.2253372680992838
friedman_mse,random,5,100,0.1,1,0.2,0.2253372680992838
absolute_error,best,100,10,0.7999999999999999,1,0.3,0.2243166022825047
poisson,best,37,73,0.7,10000,0.7,0.2253372680992838
friedman_mse,best,5,100,0.2,1,0.7999999999999999,0.2253372680992838
poisson,best,5,10,1.0,10000,0.8999999999999999,0.2253372680992838
poisson,random,100,2,0.7999999999999999,1000,0.4,0.2253372680992838
friedman_mse,best,2,100,0.8999999999999999,10000,0.2,0.2253372680992838
squared_error,best,37,2,0.7999999999999999,1,0.0,0.2253372680992838
squared_error,best,73,5,0.4,10,0.4,0.2253372680992838
poisson,random,10,5,0.6,100,0.7999999999999999,0.2253372680992838
poisson,random,73,73,0.8999999999999999,100,0.3,0.2253372680992838
squared_error,random,100,2,0.7999999999999999,10,0.5,0.2253372680992838
poisson,random,37,5,0.1,10000,0.8999999999999999,0.2253372680992838
absolute_error,random,37,5,0.2,1,0.8999999999999999,0.2243166022825047
absolute_error,random,100,5,0.6,10000,0.4,0.2243166022825047
poisson,best,100,1,0.6,10000,1.0,0.2253372680992838
friedman_mse,random,100,10,0.6,10,0.6,0.2253372680992838
absolute_error,best,10,10,0.3,100,0.0,0.2243166022825047
friedman_mse,random,2,100,0.7,1,0.5,0.2253372680992838
squared_error,random,5,73,0.8999999999999999,100,0.1,0.2253372680992838
friedman_mse,random,2,2,0.8999999999999999,100,0.1,0.2253372680992838
squared_error,random,100,100,0.6,100,0.8999999999999999,0.2253372680992838
absolute_error,best,73,73,0.8999999999999999,1,0.7,0.2243166022825047
poisson,random,37,10,1.0,10000,0.6,0.2253372680992838
friedman_mse,best,10,10,0.7,100,0.3,0.2253372680992838
poisson,best,100,10,0.3,1,0.6,0.2253372680992838
friedman_mse,random,5,5,0.4,10,0.2,0.2253372680992838
poisson,random,10,37,0.8999999999999999,10000,0.8999999999999999,0.2253372680992838
absolute_error,random,73,1,0.4,100,0.0,0.2243166022825047
poisson,best,2,5,0.0,10,1.0,0.1850635528519792
squared_error,best,100,2,0.6,10000,0.0,0.2253372680992838
absolute_error,random,100,37,0.0,10,0.1,0.1873279795797492
friedman_mse,best,100,73,0.4,10,0.5,0.2253372680992838
poisson,best,73,10,0.2,10,0.6,0.2253372680992838
absolute_error,random,5,73,0.4,1000,0.4,0.2243166022825047
friedman_mse,random,100,1,0.7999999999999999,10000,0.0,0.2253372680992838
poisson,random,100,37,0.1,1000,1.0,0.2253372680992838
absolute_error,random,2,10,0.3,1,0.6,0.2243166022825047
squared_error,random,2,100,0.2,1000,0.5,0.2253372680992838
friedman_mse,best,37,10,0.1,100,0.6,0.2253372680992838
squared_error,best,5,37,0.4,10000,0.1,0.2253372680992838
friedman_mse,random,2,10,0.6,10000,1.0,0.2253372680992838
poisson,random,5,10,0.3,1,0.5,0.2253372680992838
absolute_error,best,5,73,0.2,10000,0.1,0.2243166022825047
poisson,best,37,1,0.7999999999999999,10,0.6,0.2253372680992838
poisson,best,5,10,0.8999999999999999,1,0.1,0.2253372680992838
poisson,random,100,10,0.3,10000,0.7,0.2253372680992838
poisson,best,10,10,0.4,10,0.3,0.2253372680992838
squared_error,best,100,37,0.8999999999999999,1000,0.7999999999999999,0.2253372680992838
friedman_mse,best,100,5,0.2,10000,0.5,0.2253372680992838
poisson,best,5,5,0.3,100,0.2,0.2253372680992838
friedman_mse,best,2,1,0.2,10,0.3,0.2253372680992838
poisson,best,10,37,1.0,10,0.6,0.2253372680992838
squared_error,random,37,100,0.5,100,0.5,0.2253372680992838
poisson,best,10,1,0.7,10000,0.4,0.2253372680992838
absolute_error,best,10,100,0.2,1000,0.6,0.2243166022825047
friedman_mse,random,73,5,0.1,100,0.1,0.2253372680992838
squared_error,best,2,2,0.2,100,0.8999999999999999,0.2253372680992838
poisson,random,2,10,1.0,10000,0.3,0.2253372680992838
friedman_mse,best,5,37,0.3,10000,0.0,0.2253372680992838
friedman_mse,best,10,2,0.1,1,0.7999999999999999,0.2253372680992838
absolute_error,random,2,5,0.1,10000,0.5,0.2243166022825047
absolute_error,random,10,73,0.5,1,0.7,0.2243166022825047
squared_error,best,73,100,0.0,1000,0.7999999999999999,0.1978717733341638
friedman_mse,random,10,1,0.7,1000,1.0,0.2253372680992838
squared_error,random,5,2,0.2,10,0.6,0.2253372680992838
friedman_mse,best,2,5,1.0,100,0.1,0.2253372680992838
absolute_error,best,100,73,0.6,10000,0.1,0.2243166022825047
friedman_mse,random,37,100,0.7999999999999999,10000,0.1,0.2253372680992838
poisson,best,100,1,0.2,10,0.7,0.2253372680992838
squared_error,random,5,1,0.7,10000,0.5,0.2253372680992838
absolute_error,best,10,37,0.6,100,1.0,0.2243166022825047
squared_error,best,5,10,0.4,1,0.2,0.2253372680992838
squared_error,best,10,100,0.6,10,0.3,0.2253372680992838
absolute_error,best,10,5,0.2,100,0.6,0.2243166022825047
poisson,random,37,10,0.7,1,1.0,0.2253372680992838
friedman_mse,best,100,37,0.2,1,0.0,0.2253372680992838
friedman_mse,best,73,2,0.1,10,0.7999999999999999,0.2253372680992838
poisson,best,2,73,0.4,1000,0.7999999999999999,0.2253372680992838
poisson,best,37,1,1.0,1000,0.4,0.2253372680992838
poisson,best,10,5,0.2,10000,0.1,0.2253372680992838
squared_error,best,37,5,0.3,10,0.2,0.2253372680992838
absolute_error,best,5,100,1.0,1,0.1,0.2243166022825047
poisson,best,10,1,0.8999999999999999,1000,0.5,0.2253372680992838
absolute_error,best,10,10,0.8999999999999999,100,1.0,0.2243166022825047
squared_error,random,10,5,1.0,10000,0.4,0.2253372680992838
absolute_error,best,100,2,0.3,10000,0.5,0.2243166022825047
squared_error,best,5,5,0.7999999999999999,10000,0.2,0.2253372680992838
poisson,best,37,1,0.4,1000,0.1,0.2253372680992838
poisson,best,73,5,0.7,100,0.1,0.2253372680992838
poisson,random,100,37,1.0,10,0.3,0.2253372680992838
absolute_error,random,2,1,0.7999999999999999,100,1.0,0.2243166022825047
poisson,best,2,5,0.1,100,0.5,0.2253372680992838
squared_error,random,73,1,0.8999999999999999,100,0.7999999999999999,0.2253372680992838
friedman_mse,best,73,5,0.7,10,0.1,0.2253372680992838
